table_id,model_key,dataset_id,concept,metric,estimate,ci_low,ci_high,numerator,denominator,execution_status
T1,q25-3,nih,Effusion,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Effusion,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Atelectasis,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Atelectasis,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Pneumothorax,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Pneumothorax,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Cardiomegaly,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Cardiomegaly,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Mass,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Mass,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Nodule,calibration_selectivity,TBD,TBD,TBD,,,NOT_STARTED
T1,q25-3,nih,Nodule,test_ownership_O,TBD,TBD,TBD,,,NOT_STARTED
T2,q25-3,nih,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,nih,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,nih,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,nih,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,chexpert,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,chexpert,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,chexpert,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,chexpert,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,coco,all,readable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,coco,all,answer_capable_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,coco,all,steering_reference_count,TBD,,,TBD,TBD,NOT_STARTED
T2,q25-3,coco,all,competitor_wins_among_readable,TBD,,,TBD,TBD,NOT_STARTED
T3,q25-3,nih,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,Mass,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,Mass,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,nih,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,Effusion,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,Effusion,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,Edema,wording_IY_minus_WY_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,Edema,mapping_IA_minus_IB_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,all,median_signed_dose_O_range,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,all,median_refit_O_sd,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,all,connector_median_O,TBD,TBD,TBD,,,NOT_STARTED
T3,q25-3,chexpert,all,median_label_gap,TBD,TBD,TBD,,,NOT_STARTED
