arch,domain,concept,prevalence,probe_auroc,probe_selectivity,probe_locus,behav_auroc,gap,mean_p_yes,sd_p_yes,frac_pinned,yes_rate,sd_margin
internvl3_8b,general,Effusion,0.126,0.8058,0.1079,vis.last,0.7873,0.0185,0.3262,0.3453,0.396,0.303,2.3746
internvl3_8b,general,Cardiomegaly,0.037,0.8632,0.1227,vis.block16,0.6259,0.2373,0.9023,0.1291,0.555,0.976,1.6236
internvl3_8b,general,Pneumothorax,0.085,0.8057,0.0783,vis.block12,0.6977,0.108,0.052,0.0692,0.71,0.003,0.9871
internvl3_8b,general,Atelectasis,0.096,0.7374,0.0271,vis.block12,0.6587,0.0787,0.968,0.0312,0.771,1.0,1.1601
internvl3_8b,general,Consolidation,0.05,0.7366,0.1123,llm.L7.vis,0.7432,-0.0066,0.2472,0.3291,0.554,0.241,3.0658
internvl3_8b,general,Edema,0.038,0.8303,0.2522,llm.L24.ans,0.8115,0.0188,0.3252,0.3625,0.463,0.304,2.6849
internvl3_8b,general,Infiltration,0.168,0.7213,0.1064,llm.L14.vis,0.7167,0.0046,0.731,0.2427,0.274,0.746,1.897
internvl3_8b,general,Mass,0.073,0.6825,0.0214,llm.L18.vis,0.6803,0.0022,0.3976,0.255,0.013,0.328,1.3222
internvl3_8b,general,Nodule,0.076,0.6584,-0.1091,llm.L5.vis,0.5409,0.1175,0.3302,0.1783,0.012,0.162,0.936
lingshu7b,medical,Effusion,0.126,0.8325,0.1699,llm.L16.ans,0.8271,0.0054,0.3554,0.3348,0.276,0.348,2.1103
lingshu7b,medical,Cardiomegaly,0.037,0.8966,0.1635,llm.L20.vis,0.7454,0.1512,0.204,0.2217,0.345,0.131,1.7256
lingshu7b,medical,Pneumothorax,0.085,0.8725,0.1677,llm.L27.ans,0.8378,0.0347,0.2786,0.2678,0.183,0.199,1.6135
lingshu7b,medical,Atelectasis,0.096,0.7708,0.0936,llm.L22.ans,0.7255,0.0453,0.4304,0.3221,0.117,0.431,1.8473
lingshu7b,medical,Consolidation,0.05,0.7526,0.1387,llm.L22.ans,0.758,-0.0054,0.3766,0.3208,0.134,0.359,1.8446
lingshu7b,medical,Edema,0.038,0.8686,0.2388,vis.last,0.8482,0.0204,0.2389,0.3048,0.473,0.218,2.3524
lingshu7b,medical,Infiltration,0.168,0.7402,0.1033,llm.L3.vis,0.7415,-0.0013,0.4248,0.3176,0.049,0.39,1.7756
lingshu7b,medical,Mass,0.073,0.7557,0.0982,llm.L25.ans,0.6951,0.0606,0.4455,0.3101,0.067,0.406,1.7977
lingshu7b,medical,Nodule,0.076,0.6982,-0.0627,llm.L23.vis,0.7234,-0.0252,0.3636,0.2356,0.012,0.252,1.2457
llava15_7b,general,Effusion,0.126,0.8038,0.0702,vis.block12,0.5127,0.2911,0.5826,0.0933,0.0,0.75,0.409
llava15_7b,general,Cardiomegaly,0.037,0.8587,0.1085,vis.block12,0.6357,0.223,0.5575,0.0936,0.0,0.631,0.4077
llava15_7b,general,Pneumothorax,0.085,0.8033,0.0764,llm.L4.vis,0.5394,0.2639,0.5242,0.1153,0.0,0.48,0.4979
llava15_7b,general,Atelectasis,0.096,0.7292,0.0291,vis.block12,0.4734,0.2558,0.6532,0.0978,0.0,0.925,0.472
llava15_7b,general,Consolidation,0.05,0.7197,0.0849,vis.block16,0.4686,0.2511,0.5937,0.091,0.0,0.81,0.4071
llava15_7b,general,Edema,0.038,0.8311,0.1953,vis.block16,0.4979,0.3332,0.503,0.1134,0.0,0.383,0.4827
llava15_7b,general,Infiltration,0.168,0.7232,0.0978,llm.L4.vis,0.5388,0.1844,0.6069,0.1349,0.0,0.717,0.6386
llava15_7b,general,Mass,0.073,0.6808,-0.0083,vis.block16,0.5751,0.1057,0.4182,0.1519,0.0,0.242,0.6683
llava15_7b,general,Nodule,0.076,0.6692,-0.1103,vis.block8,0.5783,0.0909,0.5366,0.1633,0.0,0.482,0.7376
llavamed7b,medical,Effusion,0.126,0.8042,0.0706,vis.block12,0.5557,0.2485,0.9671,0.0061,0.988,1.0,0.193
llavamed7b,medical,Cardiomegaly,0.037,0.859,0.1088,vis.block12,0.5946,0.2644,0.8703,0.0275,0.0,1.0,0.2487
llavamed7b,medical,Pneumothorax,0.085,0.8066,0.0706,llm.L4.vis,0.4513,0.3553,0.9008,0.0194,0.002,1.0,0.22
llavamed7b,medical,Atelectasis,0.096,0.7284,0.028,vis.block12,0.5765,0.1519,0.9762,0.0041,1.0,1.0,0.1773
llavamed7b,medical,Consolidation,0.05,0.7274,0.0867,llm.L12.vis,0.5749,0.1525,0.9314,0.0124,0.041,1.0,0.1946
llavamed7b,medical,Edema,0.038,0.832,0.195,vis.block16,0.6835,0.1485,0.9753,0.0043,1.0,1.0,0.1796
llavamed7b,medical,Infiltration,0.168,0.7293,0.09,llm.L7.vis,0.5093,0.22,0.9513,0.0101,0.542,1.0,0.217
llavamed7b,medical,Mass,0.073,0.6817,-0.0078,vis.block16,0.4947,0.187,0.9387,0.0116,0.132,1.0,0.2183
llavamed7b,medical,Nodule,0.076,0.6773,-0.0936,llm.L12.vis,0.5457,0.1316,0.9367,0.0114,0.087,1.0,0.197
qwen7b,general,Effusion,0.126,0.7909,0.0529,vis.block20,0.626,0.1649,0.1699,0.1364,0.143,0.033,0.9725
qwen7b,general,Cardiomegaly,0.037,0.8363,0.0881,vis.block20,0.5876,0.2487,0.31,0.1626,0.013,0.125,0.8642
qwen7b,general,Pneumothorax,0.085,0.8294,0.0891,vis.block20,0.543,0.2864,0.0174,0.0183,0.941,0.0,0.8558
qwen7b,general,Atelectasis,0.096,0.7318,0.0433,vis.block24,0.5581,0.1737,0.1897,0.113,0.053,0.009,0.7955
qwen7b,general,Consolidation,0.05,0.7263,0.1027,vis.last,0.6149,0.1114,0.3332,0.2257,0.046,0.231,1.2538
