arch,domain,concept,n_rows,prevalence,probe_fixed_locus,probe_fixed,probe_max,probe_max_locus,probe_median,n_loci_used,answer_loci_excluded,behav_auroc,gap_fixed,gap_max,mean_p_yes,sd_p_yes,frac_pinned,yes_rate
internvl3_8b,general,Effusion,1000,0.126,connector,0.8119,0.8346,vis.last,0.7996,64,0,0.7873,0.0246,0.0473,0.3262,0.3453,0.396,0.303
internvl3_8b,general,Cardiomegaly,1000,0.037,connector,0.8133,0.8852,vis.block16,0.8086,36,1,0.6259,0.1874,0.2593,0.9023,0.1291,0.555,0.976
internvl3_8b,general,Pneumothorax,1000,0.085,connector,0.7594,0.8209,vis.block8,0.7811,36,1,0.6977,0.0617,0.1232,0.052,0.0692,0.71,0.003
internvl3_8b,general,Atelectasis,1000,0.096,connector,0.7435,0.7723,llm.L11.vis,0.7417,36,1,0.6587,0.0848,0.1136,0.968,0.0312,0.771,1.0
internvl3_8b,general,Consolidation,1000,0.05,connector,0.7516,0.7838,llm.L14.vis,0.7419,36,1,0.7432,0.0084,0.0406,0.2472,0.3291,0.554,0.241
internvl3_8b,general,Edema,1000,0.038,connector,0.8155,0.8513,vis.block16,0.8153,36,1,0.8115,0.004,0.0398,0.3252,0.3625,0.463,0.304
internvl3_8b,general,Infiltration,1000,0.168,connector,0.7051,0.7366,llm.L22.vis,0.7251,36,1,0.7167,-0.0116,0.0199,0.731,0.2427,0.274,0.746
internvl3_8b,general,Mass,1000,0.073,connector,0.6628,0.7447,llm.L18.vis,0.6698,36,1,0.6803,-0.0175,0.0644,0.3976,0.255,0.013,0.328
internvl3_8b,general,Nodule,1000,0.076,connector,0.65,0.6931,vis.block16,0.651,36,1,0.5409,0.1091,0.1522,0.3302,0.1783,0.012,0.162
lingshu7b,medical,Effusion,1000,0.126,connector,0.823,0.845,llm.L21.ans,0.8189,66,0,0.8271,-0.0041,0.0179,0.3554,0.3348,0.276,0.348
lingshu7b,medical,Cardiomegaly,1000,0.037,connector,0.8906,0.9219,llm.L25.vis,0.8893,38,1,0.7454,0.1452,0.1765,0.204,0.2217,0.345,0.131
