arch,medical,concept,locus,complete,probe_effect,cad_effect,random_effect,sham_effect,cad_over_probe,cad_over_random,probe_over_random,probe_read,cad_read,random_read,read_lost,cos_probe_cad,cos_probe_random,cad_spec_ratio,nospec_spec_ratio,nospec_effect,probe_spec_ratio,grad_collinearity,grad_align_signed,grad_sign_flips,grad_align,p_yes_base
internvl3_8b,0,cardiomegaly,connector,1,0.01035,0.06259,0.0081,0.02311,6.05,7.73,1.28,0.7703,0.6052,0.5213,0.1651,-0.0123,-0.0027,3.63,0.24,0.06723,0.42,0.4271,nan,nan,0.4271,0.93238
internvl3_8b,0,cardiomegaly,llm.L7.vis,1,0.01308,0.06251,0.00998,0.02556,4.78,6.26,1.31,0.7932,0.5878,0.5252,0.2054,-0.0493,-0.0089,2.18,nan,nan,0.39,0.2639,nan,nan,0.2639,0.93238
internvl3_8b,0,cardiomegaly,llm.L14.vis,1,0.01069,0.06413,0.057,0.00331,6.0,1.13,0.19,0.7759,0.504,0.5366,0.2719,0.0168,0.0127,6.41,nan,nan,0.31,0.2304,nan,nan,0.2304,0.93238
internvl3_8b,0,cardiomegaly,llm.L21.vis,1,0.00196,0.03277,0.00206,0.00283,16.72,15.91,0.95,0.7879,0.5641,0.551,0.2238,0.0078,-0.0026,5.63,nan,nan,0.32,0.8623,nan,nan,0.8623,0.93238
internvl3_8b,0,cardiomegaly,llm.L27.ans,1,0.14666,0.00553,0.02065,0.01103,0.04,0.27,7.1,0.7436,0.6009,0.5669,0.1427,0.0436,-0.0085,0.88,nan,nan,1.28,0.9998,nan,nan,0.9998,0.93238
internvl3_8b,0,effusion,connector,1,0.01799,0.63738,0.01628,0.0208,35.43,39.15,1.11,0.7468,0.6304,0.6112,0.1164,0.005,-0.0175,16.99,3.27,0.63889,2.5,0.417,nan,nan,0.417,0.36057
internvl3_8b,0,effusion,llm.L7.vis,1,0.03779,0.63928,0.07929,0.05299,16.92,8.06,0.48,0.724,0.6707,0.521,0.0533,0.0199,-0.0048,16.46,nan,nan,2.41,0.1915,nan,nan,0.1915,0.36057
internvl3_8b,0,effusion,llm.L14.vis,1,0.04959,0.63618,0.06283,0.02084,12.83,10.13,0.79,0.7411,0.6912,0.609,0.0499,0.0097,-0.0086,20.89,nan,nan,1.91,0.4636,nan,nan,0.4636,0.36057
internvl3_8b,0,effusion,llm.L21.vis,1,0.00559,0.31085,0.00634,0.00534,55.61,49.03,0.88,0.7299,0.573,0.6357,0.1569,0.0018,0.0006,13.22,nan,nan,2.5,0.8985,nan,nan,0.8985,0.36057
internvl3_8b,0,effusion,llm.L27.ans,1,0.0215,0.04328,0.06544,0.04234,2.01,0.66,0.33,0.7448,0.771,0.7416,-0.0262,0.0336,0.0059,2.43,nan,nan,2.56,0.9999,nan,nan,0.9999,0.36057
lingshu7b,1,cardiomegaly,connector,1,0.01442,0.65699,0.01673,0.02151,45.56,39.27,0.86,0.8467,0.6718,0.5259,0.1749,0.0171,-0.015,11.82,3.84,0.73951,0.92,0.1981,nan,nan,0.1981,0.23788
lingshu7b,1,cardiomegaly,llm.L7.vis,1,0.02343,0.71008,0.01773,0.03257,30.31,40.05,1.32,0.8205,0.6867,0.5059,0.1338,0.0291,-0.0315,12.62,nan,nan,1.29,0.2229,nan,nan,0.2229,0.23788
