model,domain,concept,run,job_done,n_loci_tested,n_loci_dead,loci_tested,peak_decod_locus_all_loci,peak_decod_selectivity_all_loci,peak_decod_auroc_locus_all_loci,peak_decod_auroc_all_loci,peak_decod_locus_tested,peak_decod_selectivity_tested,peak_decod_auroc_tested,peak_steer_locus,peak_steer_arm,peak_steer_alpha,peak_steer_effect,peak_steer_z,peak_steer_selective,peak_steer_sign_as_expected,peak_steer_degraded_at_every_alpha,peak_steer_full_random_band,any_locus_selective,any_locus_selective_and_signed,peak_raw_movement_locus,peak_raw_movement_effect,peak_raw_movement_selective,n_live_loci,coincidence_is_informative,coincide_within_tested,coincide_with_global_peak,selectivity_at_peak_steer_locus,steer_effect_at_peak_decod_locus,n_selective_loci,n_probe_loci,n_runs_pooled,runs_pooled,runs_incompatible_note,any_locus_short_random_band
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,vis.block16,0.1227156699222205,vis.block16,0.8631985879384643,vis.last,0.10789329684696425,0.851380170005707,llm.L21.ans,pos,1.0,-0.20479554139698541,-3.8076727445604774,True,False,False,True,True,True,llm.L21.ans,-0.20479554139698541,True,11,True,False,False,0.10069697133055744,0.016586157493293285,4,64,1,int_internvl3_8b_cardiomegaly,,False
internvl3_8b,general,Effusion,int_internvl3_8b_effusion,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,llm.L25.ans,0.15769859477726944,vis.last,0.8057595150918433,llm.L21.ans,0.1540026074037517,0.7914898003138364,llm.L26.vis,neg,-1.0,-0.018007594432371377,-3.0456164707540783,True,True,False,True,True,True,llm.L7.vis,-0.06987928446809144,False,11,True,False,False,0.12279469148594968,0.02829965765219339,1,64,1,int_internvl3_8b_effusion,,False
internvl3_8b,general,Pneumothorax,int_internvl3_8b_pneumothorax,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,llm.L17.ans,0.09358096610000533,vis.block12,0.8056848564540872,llm.L26.vis,0.09222246663876477,0.7791154941924172,llm.L21.vis,neg,-1.0,0.011911010524878904,2.221102589083621,True,False,False,True,True,False,llm.L14.vis,0.06383799472435688,False,11,True,False,False,0.05723128851125525,0.00352773375925608,1,64,1,int_internvl3_8b_pneumothorax,,False
lingshu7b,medical,Cardiomegaly,int_lingshu7b_cardiomegaly,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,llm.L21.ans,0.19464008074792172,llm.L20.vis,0.896640523268449,llm.L21.ans,0.19464008074792172,0.8761928403957024,llm.L26.vis,pos,1.0,0.017273573811204784,5.08817084907384,True,True,False,True,True,True,vis.last,0.08274255642512193,False,11,True,False,False,0.17480936452549634,0.009012760628441668,4,66,1,int_lingshu7b_cardiomegaly,,False
lingshu7b,medical,Effusion,int_lingshu7b_effusion,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,llm.L21.ans,0.1858393509596522,llm.L16.ans,0.8324586935786591,llm.L21.ans,0.1858393509596522,0.8308464354942925,llm.L7.ans,neg,-1.0,0.016042901998541026,1.4732959435695654,True,False,False,True,True,False,llm.L27.ans,-0.09887205919949338,False,11,True,False,False,0.1093099977066666,0.01564668194623664,1,66,1,int_lingshu7b_effusion,,False
lingshu7b,medical,Pneumothorax,int_lingshu7b_pneumothorax,True,12,1,connector|llm.L0.vis|llm.L14.ans|llm.L14.vis|llm.L21.ans|llm.L21.vis|llm.L26.vis|llm.L27.ans|llm.L27.vis|llm.L7.ans|llm.L7.vis|vis.last,llm.L18.ans,0.17489237410816283,llm.L27.ans,0.8725316677624371,llm.L27.ans,0.16768972862069875,0.8725316677624371,llm.L0.vis,pos,0.25,0.013028101762756705,1.7811967443718637,False,True,False,True,False,False,llm.L27.ans,0.17756896842426312,False,11,True,False,False,0.09558187776932803,0.17756896842426312,0,66,1,int_lingshu7b_pneumothorax,,False
llava15_7b,general,Cardiomegaly,int_llava15_7b_cardiomegaly,True,12,2,connector|llm.L0.vis|llm.L16.ans|llm.L16.vis|llm.L24.ans|llm.L24.vis|llm.L30.vis|llm.L31.ans|llm.L31.vis|llm.L8.ans|llm.L8.vis|vis.last,vis.block16,0.11100204518171641,vis.block12,0.8587152218890741,connector,0.09440274561638151,0.8246690259920387,llm.L30.vis,pos,1.0,-0.04669944817821181,-2.385610925429152,True,False,False,True,True,False,llm.L31.ans,-0.09014336361239356,False,10,True,False,False,0.04795760659616133,0.05751962432016933,2,72,1,int_llava15_7b_cardiomegaly,,False
llava15_7b,general,Effusion,int_llava15_7b_effusion,True,12,2,connector|llm.L0.vis|llm.L16.ans|llm.L16.vis|llm.L24.ans|llm.L24.vis|llm.L30.vis|llm.L31.ans|llm.L31.vis|llm.L8.ans|llm.L8.vis|vis.last,vis.block8,0.07082178246584625,vis.block12,0.8038494200178457,llm.L8.vis,0.05891480937449467,0.7733045137072705,llm.L24.vis,neg,-1.0,0.009278438985347748,1.5561778086517815,False,False,False,True,False,False,llm.L31.ans,0.36567590882380796,False,10,True,False,False,0.04227168965554484,0.02156530786305666,0,72,1,int_llava15_7b_effusion,,False
llava15_7b,general,Pneumothorax,int_llava15_7b_pneumothorax,True,12,2,connector|llm.L0.vis|llm.L16.ans|llm.L16.vis|llm.L24.ans|llm.L24.vis|llm.L30.vis|llm.L31.ans|llm.L31.vis|llm.L8.ans|llm.L8.vis|vis.last,llm.L4.vis,0.07637150030274409,llm.L4.vis,0.8033307034845496,llm.L8.vis,0.06355114326932221,0.7939934253780409,llm.L24.vis,pos,1.0,-0.028769026510417406,-2.4784002913780205,True,False,False,True,True,True,connector,-0.05135291380186874,False,10,True,False,False,0.043554625509277356,0.049528237432241384,2,72,1,int_llava15_7b_pneumothorax,,False
llavamed7b,medical,Cardiomegaly,int_llavamed7b_cardiomegaly,True,12,2,connector|llm.L0.vis|llm.L16.ans|llm.L16.vis|llm.L24.ans|llm.L24.vis|llm.L30.vis|llm.L31.ans|llm.L31.vis|llm.L8.ans|llm.L8.vis|vis.last,vis.block16,0.11042272149709975,vis.block12,0.8589528623752387,llm.L0.vis,0.08340883846257174,0.8227758528996556,llm.L31.ans,pos,0.25,-0.12450531621774041,-3.2793354434463002,True,False,False,True,True,True,llm.L31.ans,-0.12450531621774041,True,10,True,False,False,0.040324292958118346,0.07668742661674821,2,72,1,int_llavamed7b_cardiomegaly,,False
