arch,domain,concept,yesno,yesno_alt,statement,negation,best,best_method,gain,probe_best,probe_connector,gap_before,gap_after,gap_closed_frac
internvl3_8b,general,Effusion,0.8136,0.8175,0.8028,0.8093,0.8175,yesno_alt,0.0039,0.8058,0.7912,-0.0078,-0.0117,3900000.0
internvl3_8b,general,Cardiomegaly,0.5953,0.6208,0.541,0.5853,0.6208,yesno_alt,0.0255,0.8632,0.8222,0.2679,0.2424,0.0952
internvl3_8b,general,Pneumothorax,0.6585,0.6064,0.5248,0.7337,0.7337,negation,0.0752,0.8057,0.7908,0.1472,0.072,0.5109
internvl3_8b,general,Edema,0.784,0.7871,0.4362,0.7788,0.7871,yesno_alt,0.0031,0.8227,0.8111,0.0387,0.0356,0.0802
lingshu7b,medical,Effusion,0.8555,0.8541,0.8399,0.8507,0.8555,yesno,0.0,0.8325,0.8071,-0.023,-0.023,0.0
lingshu7b,medical,Cardiomegaly,0.7079,0.6978,0.6568,0.6863,0.7079,yesno,0.0,0.8966,0.8679,0.1887,0.1887,0.0
lingshu7b,medical,Pneumothorax,0.8661,0.8517,0.848,0.8584,0.8661,yesno,0.0,0.8693,0.8191,0.0032,0.0032,0.0
lingshu7b,medical,Edema,0.8048,0.803,0.7885,0.7969,0.8048,yesno,0.0,0.8686,0.8408,0.0638,0.0638,0.0
llava15_7b,general,Effusion,0.4982,0.4409,0.4894,0.5269,0.5269,negation,0.0287,0.8038,0.7744,0.3056,0.2769,0.0939
llava15_7b,general,Cardiomegaly,0.6482,0.6194,0.6748,0.6302,0.6748,statement,0.0266,0.8587,0.8247,0.2105,0.1839,0.1264
llava15_7b,general,Pneumothorax,0.5201,0.5422,0.5001,0.5629,0.5629,negation,0.0428,0.8033,0.7934,0.2832,0.2404,0.1511
llava15_7b,general,Edema,0.5324,0.5638,0.4855,0.5724,0.5724,negation,0.04,0.8311,0.7996,0.2987,0.2587,0.1339
llavamed7b,medical,Effusion,0.6608,0.6271,0.6006,0.6534,0.6608,yesno,0.0,0.8042,0.7688,0.1434,0.1434,0.0
llavamed7b,medical,Cardiomegaly,0.6496,0.5893,0.5441,0.6109,0.6496,yesno,0.0,0.859,0.8185,0.2094,0.2094,0.0
llavamed7b,medical,Pneumothorax,0.4793,0.4323,0.4821,0.4609,0.4821,statement,0.0028,0.8066,0.7895,0.3273,0.3245,0.0086
llavamed7b,medical,Edema,0.7549,0.6501,0.6014,0.716,0.7549,yesno,0.0,0.832,0.7929,0.0771,0.0771,0.0
qwen7b,general,Effusion,0.6455,0.6242,0.614,0.6561,0.6561,negation,0.0106,0.7909,0.7698,0.1454,0.1348,0.0729
qwen7b,general,Cardiomegaly,0.4825,0.4925,0.5086,0.4942,0.5086,statement,0.0261,0.8363,0.7928,0.3538,0.3277,0.0738
qwen7b,general,Pneumothorax,0.5294,0.5205,0.4967,0.55,0.55,negation,0.0206,0.8294,0.7524,0.3,0.2794,0.0687
qwen7b,general,Edema,0.6762,0.6566,0.6636,0.6849,0.6849,negation,0.0087,0.8414,0.8161,0.1652,0.1565,0.0527
