model,domain,concept,run,job_done,n_eval,locus,arm,alphas_admissible,alphas_monotone,alpha_used,degraded_at_every_alpha,baseline_p_yes,concept_effect,concept_slope,n_random,rand_mean,rand_sd,rand_p95_abs,sham_effect,beats_sham,n_unrelated,unrel_mean,unrel_max_abs,beats_all_unrelated,rand_rank,n_random_expected,full_random_band,sign_as_expected,selective,effect_size_z,dead_locus,alpha_extreme,concept_effect_extreme,rand_mean_extreme
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,connector,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,-0.09335226193070412,0.094529277653922,16,0.0023765958515772,0.0735087054774258,0.13951319320282585,-0.014932214592893955,True,4,0.008570393101156981,0.06443621551928425,True,14,16,True,True,False,-1.302279194831954,False,-1.0,-0.09335226193070412,0.0023765958515772
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,connector,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,0.04370259400457144,0.04356644522576111,16,-0.0057685494636340665,0.06543744800810333,0.11435957788489762,0.026029781438410282,True,4,-0.02956244481417039,0.09224615028748906,False,8,16,True,True,False,0.7560066135537458,False,1.0,0.04370259400457144,-0.0057685494636340665
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L0.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,-0.005076121849318382,0.004625282897835901,16,0.012155015962586432,0.07128954066638596,0.10407179667769617,0.03475909649084008,False,4,0.00596426211996004,0.09608688725469017,False,0,16,True,True,False,-0.24170639410543351,False,-1.0,-0.005076121849318382,0.012155015962586432
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L0.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,0.04802216061701381,0.04860097333079256,16,0.018369866835807144,0.04585322601404029,0.08116443381489566,0.04766314507772529,True,4,0.002846754970960319,0.04651420656591654,True,11,16,True,True,False,0.6466784642835623,False,1.0,0.04802216061701381,0.018369866835807144
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L14.ans,neg,-0.25|-0.5,-0.25,-0.25,False,0.9182377429679036,-0.010737288743257523,0.04294915497303037,16,0.0060748191899620135,0.014389154287965304,0.02535463140035668,0.020288096740841866,False,4,0.023435652178401767,0.03078539141764247,False,9,16,True,True,False,-1.1683874949677011,False,-1.0,0.015242356186111805,0.03656562933853518
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L14.ans,pos,0.25|0.5,0.25|0.5,0.5,False,0.9182377429679036,0.0675833669180671,0.13516673383613487,16,0.015444429872635133,0.02756649105590781,0.04828641423955557,0.027674166796108124,True,4,0.012133416254073381,0.034013587050139904,True,16,16,True,True,True,1.8913882416042211,False,1.0,0.06754430724928773,0.04529800747210781
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L14.vis,neg,-0.25,-0.25,-0.25,False,0.9182377429679036,-0.018260783826311466,0.07304313530524632,16,-0.01734832566580736,0.017260252997376234,0.0504418968921527,-0.031583855239053604,False,4,-0.03175340798528245,0.0609570022982856,False,9,16,True,True,False,-0.05286470370062435,False,-1.0,-0.322236258109721,-0.14602809693315066
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L14.vis,pos,0.25|0.5,0.25|0.5,0.5,False,0.9182377429679036,-0.04907445888966322,-0.0981489177793267,16,-0.01802947431375894,0.03606436418812619,0.07366308170215535,0.015491677758594391,True,4,0.017040270846337108,0.047513468501468537,True,12,16,True,False,False,-0.8608216247473874,False,1.0,-0.15895706539352739,-0.06883547899390881
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L21.ans,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,0.05617453561474883,-0.055225764534302724,16,0.014961931408227734,0.030678066030997705,0.05077170766890052,0.0612651243185004,False,4,0.019704837507257877,0.028539209005733368,True,16,16,True,False,True,1.34338990485512,False,-1.0,0.05617453561474883,0.014961931408227734
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L21.ans,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,-0.20479554139698541,-0.20877650871518122,16,-0.0007058513389589863,0.053599587924036435,0.08405798627063629,-0.12295937382926547,True,4,-0.02654660097323358,0.14270493450264132,True,16,16,True,False,True,-3.8076727445604774,False,1.0,-0.20479554139698541,-0.0007058513389589863
