model_key,dataset_id,status,modules_complete,modules_ineligible,n_concepts,readable,answer_capable,owned,owned_concepts,readable_concepts,capable_concepts,eligible_templates,primary_template,gpu_hours,altdir_owned_dom_pattern_orth_resid
q25-3,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,2,2,0,,"Cardiomegaly, Effusion","Mass, Nodule",IYWYIAWA,IY,12.559,
q25-3,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,2,0,,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Effusion",IYWYIAWA,IY,3.488,
q25-3,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,5,6,"bicycle, bottle, car, chair, dog, person","bottle, car, chair, person","bottle, car, chair, dog, person",IYWYIAWA,IY,12.849,
q25-7,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION+ALTDIR,,6,3,3,0,,"Cardiomegaly, Effusion, Pneumothorax","Cardiomegaly, Mass, Nodule",,IY,28.199,2/2/0/0
q25-7,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,2,0,,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Effusion",IYWYIAIBWAWB,IY,4.838,
q25-7,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION+ALTDIR,,6,1,5,6,"bicycle, bottle, car, chair, dog, person",person,"bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,27.071,4/2/6/6
q25-32,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,4,1,Cardiomegaly,"Atelectasis, Cardiomegaly, Pneumothorax","Atelectasis, Cardiomegaly, Mass, Nodule",IYWYIAIBWAWB,IY,82.655,
q25-32,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,4,0,,"Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion",IYWYIAIBWAWB,IY,16.317,
q25-32,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,1,5,6,"bicycle, bottle, car, chair, dog, person",person,"bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,74.961,
q25-72,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,2,4,3,"Atelectasis, Cardiomegaly, Mass","Cardiomegaly, Pneumothorax","Cardiomegaly, Effusion, Mass, Nodule",IYWYIAIBWAWB,IY,214.349,
q3-4,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,6,0,,"Atelectasis, Cardiomegaly, Effusion","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,14.638,
q3-4,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,4,2,"Consolidation, Edema","Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion",IYWYIAIBWAWB,IY,3.46,
q3-4,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,5,6,"bicycle, bottle, car, chair, dog, person","bottle, car, chair, person","bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,13.734,
