modality,model,domain,cells,median_real,median_selectivity,max_selectivity,max_nuisance,max_real,nuisance_beats_best_concept,nuisance_probes_read
CXR,lingshu7b,medical,594,0.7491,0.0984,0.2677,0.9993,0.8966,1,nuis_view_AP
CXR,qwen7b,general,594,0.6918,0.0495,0.2534,0.9994,0.8414,1,nuis_view_AP
CXR,llavamed7b,medical,648,0.7112,0.0469,0.207,0.9992,0.859,1,nuis_view_AP
CXR,llava15_7b,general,648,0.7071,0.0477,0.2068,0.9991,0.8587,1,nuis_view_AP
CXR,internvl3_8b,general,576,0.7196,0.085,0.2725,0.9991,0.8632,1,nuis_view_AP
DERM,lingshu7b,medical,396,0.8952,0.3181,0.4531,0.9371,0.9733,0,nuis_site_Trunk|nuis_site_Headandneck
DERM,qwen7b,general,396,0.9011,0.3149,0.4441,0.9383,0.9667,0,nuis_site_Trunk|nuis_site_Headandneck
DERM,llavamed7b,medical,432,0.8881,0.3083,0.4125,0.9465,0.9442,1,nuis_site_Trunk|nuis_site_Headandneck
DERM,llava15_7b,general,432,0.8873,0.3055,0.3976,0.9462,0.9485,0,nuis_site_Trunk|nuis_site_Headandneck
DERM,internvl3_8b,general,384,0.8829,0.3026,0.4114,0.9443,0.9493,0,nuis_site_Trunk|nuis_site_Headandneck
