arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
internvl3_8b,general,consolidation,0.05,0.0656,vis.last,anatomical,0.0302,0.0005,,,
internvl3_8b,general,consolidation,0.05,0.0671,connector,anatomical,0.0027,0.0142,,,
internvl3_8b,general,consolidation,0.05,0.1345,llm.L7.vis,anatomical,-0.001,-0.0123,,,
internvl3_8b,general,consolidation,0.05,0.2382,llm.L14.vis,anatomical,0.0004,-0.0131,,,
internvl3_8b,general,consolidation,0.05,0.5163,llm.L21.vis,anatomical,0.0063,-0.0033,,,
internvl3_8b,general,consolidation,0.1,0.1041,vis.last,anatomical,0.026,0.019,,,
internvl3_8b,general,consolidation,0.1,0.1065,connector,anatomical,0.002,0.0072,,,
internvl3_8b,general,consolidation,0.1,0.2105,llm.L7.vis,anatomical,0.0024,-0.0104,,,
internvl3_8b,general,consolidation,0.1,0.3562,llm.L14.vis,anatomical,-0.0029,-0.0128,,,
internvl3_8b,general,consolidation,0.1,0.7398,llm.L21.vis,anatomical,0.0109,-0.0156,,,
internvl3_8b,general,consolidation,0.2,0.2117,vis.last,anatomical,0.0191,0.0281,,,
internvl3_8b,general,consolidation,0.2,0.2107,connector,anatomical,0.0021,0.013,,,
internvl3_8b,general,consolidation,0.2,0.4092,llm.L7.vis,anatomical,0.0028,-0.0044,,,
internvl3_8b,general,consolidation,0.2,0.7021,llm.L14.vis,anatomical,0.0,-0.0032,,,
internvl3_8b,general,consolidation,0.2,1.3723,llm.L21.vis,anatomical,0.0062,-0.0162,,,
internvl3_8b,general,consolidation,0.3,0.3612,vis.last,anatomical,0.0213,0.0451,,,
internvl3_8b,general,consolidation,0.3,0.3456,connector,anatomical,0.0017,0.0169,,,
internvl3_8b,general,consolidation,0.3,0.6679,llm.L7.vis,anatomical,0.0038,0.0011,,,
internvl3_8b,general,consolidation,0.3,1.2083,llm.L14.vis,anatomical,0.001,0.0048,,,
internvl3_8b,general,consolidation,0.3,2.2396,llm.L21.vis,anatomical,0.0035,-0.0129,,,
internvl3_8b,general,consolidation,0.45,0.6234,vis.last,anatomical,0.0221,0.0626,,,
internvl3_8b,general,consolidation,0.45,0.5692,connector,anatomical,0.0007,0.0217,,,
internvl3_8b,general,consolidation,0.45,1.1072,llm.L7.vis,anatomical,0.0038,0.0045,,,
internvl3_8b,general,consolidation,0.45,2.0917,llm.L14.vis,anatomical,0.0001,0.0109,,,
internvl3_8b,general,consolidation,0.45,3.6472,llm.L21.vis,anatomical,0.0022,-0.0066,,,
internvl3_8b,general,consolidation,0.6,0.8607,vis.last,anatomical,0.0225,0.0667,,,
internvl3_8b,general,consolidation,0.6,0.7626,connector,anatomical,0.0003,0.0241,,,
internvl3_8b,general,consolidation,0.6,1.5011,llm.L7.vis,anatomical,0.0029,0.0037,,,
internvl3_8b,general,consolidation,0.6,2.9449,llm.L14.vis,anatomical,-0.0007,0.0123,,,
internvl3_8b,general,consolidation,0.6,4.9309,llm.L21.vis,anatomical,0.0013,-0.0013,,,
internvl3_8b,general,effusion,0.05,0.1272,vis.last,anatomical,-0.0085,0.0257,nan,nan,nan
internvl3_8b,general,effusion,0.05,0.1308,connector,anatomical,0.0002,0.0109,0.0299,0.049,-0.0006
internvl3_8b,general,effusion,0.05,0.2497,llm.L7.vis,anatomical,-0.0035,0.0141,0.0234,nan,-0.0111
internvl3_8b,general,effusion,0.05,0.3993,llm.L14.vis,anatomical,0.0018,-0.0028,0.0447,nan,0.0137
internvl3_8b,general,effusion,0.05,0.8476,llm.L21.vis,anatomical,0.0052,0.0175,0.0224,nan,-0.0019
internvl3_8b,general,effusion,0.1,0.2579,vis.last,anatomical,-0.0036,0.0038,nan,nan,nan
internvl3_8b,general,effusion,0.1,0.252,connector,anatomical,-0.0005,0.003,0.0666,0.0981,0.0075
