arch,domain,concept,p_yes_base,anatomical_rise,control_rise,site_ratio,other_rise_mean,concept_ratio,monotone,PASS
internvl3_8b,general,consolidation,0.0025,0.2638,0.0004,753.7,0.2271,1.2,1,1
internvl3_8b,general,effusion,0.0245,0.0483,0.0033,14.8,0.0098,0.8,1,1
internvl3_8b,general,nodule,0.194,0.5749,0.0199,28.9,0.0316,18.2,1,1
lingshu7b,medical,consolidation,0.0617,0.4796,0.0029,163.7,0.1422,3.4,0,0
lingshu7b,medical,effusion,0.0388,0.1611,0.0012,134.3,0.113,1.4,1,1
lingshu7b,medical,nodule,0.135,0.5769,0.0045,129.3,0.0198,29.1,0,0
llava15_7b,general,consolidation,0.5175,0.13,-0.002,64.7,0.1714,0.8,1,1
llava15_7b,general,effusion,0.4705,0.1127,0.0141,8.0,0.0629,1.8,1,1
llava15_7b,general,nodule,0.3946,0.3312,0.0261,12.7,0.1248,2.7,1,1
llavamed7b,medical,consolidation,0.9215,0.0016,0.0017,0.9,0.0032,0.5,1,0
llavamed7b,medical,effusion,0.9626,-0.0028,-0.0001,34.9,-0.003,0.7,1,0
llavamed7b,medical,nodule,0.9278,0.019,0.0002,105.5,-0.0009,21.8,1,0
qwen7b,general,consolidation,0.1148,0.3857,0.0168,22.9,0.064,6.0,1,1
qwen7b,general,effusion,0.0594,0.0436,0.0098,4.4,0.0143,1.2,0,0
qwen7b,general,nodule,0.0635,0.7976,0.1063,7.5,-0.066,12.1,1,1
