concept,locus,dim,real,perm,control,selectivity,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1280,0.6516676409956617,0.5090289529552937,0.9972528111107883,-0.3455851701151267,0.9972528111107885,0.8059998492660965
Effusion,vis.block12,1280,0.7532989754161412,0.5215519522476232,0.9990768370282127,-0.2457778616120715,0.9990765464741261,0.9875256318736793
Effusion,vis.block16,1280,0.7822131626719178,0.5210759668933262,0.9988072754743296,-0.2165941128024118,0.9988122875323242,0.990154445370336
Effusion,vis.block20,1280,0.7750764591858711,0.5096707793606351,0.9987600604352501,-0.22368360124937903,0.9987666705407211,0.9901484017940179
Effusion,vis.block24,1280,0.775057690532599,0.5273400818436356,0.9985069151872621,-0.2234492246546631,0.9984416131562891,0.9898133032623935
Effusion,vis.block28,1280,0.7795092458693578,0.5432682071320882,0.9987075427840892,-0.21919829691473147,0.9986593108057065,0.9887791407029887
Effusion,vis.block4,1280,0.7279563705732132,0.5373639272637765,0.9993217014847313,-0.27136533091151815,0.9993217014847314,0.9532583408463282
Effusion,vis.block8,1280,0.7527279160641211,0.5135480446755484,0.9993552604817386,-0.24662734441761747,0.9993552604817386,0.9837365228248103
Effusion,vis.last,1280,0.7936983477431463,0.5187563459585859,0.9981573786210303,-0.20445903087788397,0.9981446668797396,0.9858683410454108
Effusion,connector,3584,0.7774548475431525,0.5314378019137873,0.9987142981666037,-0.2212594506234512,0.9987066711218293,0.987852838205641
Effusion,llm.L0.ans,3584,0.7607396695486294,0.5133762038091135,0.9982438184618067,-0.23750414891317728,0.9982885637911497,0.9730234661403303
Effusion,llm.L0.vis,3584,0.7625882280545213,0.5188320359373557,0.998629238457739,-0.23604101040321768,0.9986348316239069,0.9870813223629388
Effusion,llm.L1.ans,3584,0.7426153041444878,0.5088515737977293,0.9986487055815441,-0.2560334014370562,0.9986909085626289,0.9742144061795213
Effusion,llm.L1.vis,3584,0.7532306698255438,0.5177611458108982,0.9984637679053956,-0.24523309807985183,0.9984782956097277,0.98748403784843
Effusion,llm.L2.ans,3584,0.7581772868527122,0.505459216639488,0.9985518057936484,-0.2403745189409362,0.9985838393817009,0.973296991294406
Effusion,llm.L2.vis,3584,0.7608019753238362,0.5218790191071044,0.9982956097277509,-0.2374936344039147,0.9983460935003052,0.9866213706546686
Effusion,llm.L3.ans,3584,0.7566022583920496,0.49910864281099043,0.9987493099340442,-0.24214705154199456,0.99875831711073,0.970896767184376
Effusion,llm.L3.vis,3584,0.7563281129811392,0.5082391311036584,0.9986987535229683,-0.2423706405418291,0.9986997704622715,0.9856780039418338
Effusion,llm.L4.ans,3584,0.7513081135965047,0.47177532998984645,0.9984615161112241,-0.2471534025147194,0.9984722666124298,0.9675092360066323
Effusion,llm.L4.vis,3584,0.7533758961262732,0.5141197193932494,0.9987909318069559,-0.24541503568068268,0.9987939099863441,0.9846107794649229
Effusion,llm.L5.ans,3584,0.7350973816190272,0.49470508599735397,0.9985959700148183,-0.2634985883957911,0.9986117325740187,0.9682833114816574
Effusion,llm.L5.vis,3584,0.7480074459247408,0.5183786652718378,0.9987332568207572,-0.2507258108960164,0.9987289711479792,0.9857458341983943
Effusion,llm.L6.ans,3584,0.7395904741392573,0.5012788837266546,0.9986208123892263,-0.259030338249969,0.9986863323357642,0.9655872365356231
Effusion,llm.L6.vis,3584,0.7498698501584566,0.5193754038337282,0.9985451956881775,-0.24867534552972081,0.998545922073394,0.9863403088054197
Effusion,llm.L7.ans,3584,0.7426783791267961,0.4798987723454663,0.9979333614202283,-0.25525498229343213,0.9980733358514687,0.9652251196628111
Effusion,llm.L7.vis,3584,0.7409261253499893,0.5148118519430172,0.9988244908039631,-0.2578983654539738,0.9988270331522213,0.9845120914186904
Effusion,llm.L8.ans,3584,0.7471868557890528,0.5169127103781422,0.9983848098323502,-0.2511979540432975,0.9983896766133015,0.9625828680964584
Effusion,llm.L8.vis,3584,0.7516008738192671,0.5088668040983354,0.9988358224133422,-0.24723494859407513,0.9987111020716506,0.9853550636637439
Effusion,llm.L9.ans,3584,0.7367367157933603,0.5106513645733978,0.9985624110178108,-0.26182569522445054,0.9985661155824156,0.9629000492018213
Effusion,llm.L9.vis,3584,0.7518214824159257,0.5141989477246854,0.998874829299474,-0.2470533468835483,0.9987967428886887,0.9861703065586311
Effusion,llm.L10.ans,3584,0.7483603581428264,0.517892218700963,0.9983909114681697,-0.2500305533253433,0.9983352703605778,0.960356059076314
Effusion,llm.L10.vis,3584,0.7598698501584568,0.509802467616381,0.998734782229712,-0.23886493207125525,0.9987438620449196,0.9846323230369752
Effusion,llm.L11.ans,3584,0.742666687178856,0.5263794960155072,0.9984387802539444,-0.2557720930750884,0.9984377633146411,0.9580611353960177
Effusion,llm.L11.vis,3584,0.7495869357865912,0.5197827759145872,0.9983744951622745,-0.2487875593756833,0.9982220269053085,0.984594852863802
Effusion,llm.L12.ans,3584,0.7578645272453154,0.5214618011753485,0.9985690937618037,-0.2407045665164883,0.9985751227591017,0.9587899195991048
Effusion,llm.L12.vis,3584,0.754514014953386,0.49739115719516325,0.9983648342388936,-0.24385081928550756,0.9983271348461515,0.9834150756655754
Effusion,llm.L13.ans,3584,0.7648866188732656,0.5293489431094427,0.997537263561612,-0.2326506446883464,0.9974480634570125,0.9572429773643182
Effusion,llm.L13.vis,3584,0.7624694624780777,0.5053081443647888,0.9981666037132813,-0.23569714123520358,0.9981052241624778,0.9820940209832968
Effusion,llm.L14.ans,3584,0.7670819359404327,0.5187612688840344,0.9978408199436325,-0.23075888400319977,0.9976595868320888,0.955875280493042
Effusion,llm.L14.vis,3584,0.7537509615088767,0.5106527491461801,0.9986353400935584,-0.2448843785846817,0.9985041549234389,0.979986163765276
Effusion,llm.L15.ans,3584,0.7769231715947201,0.5200241531029814,0.9980091233983206,-0.22108595180360047,0.9979242089664991,0.9534340311649456
Effusion,llm.L15.vis,3584,0.7581775945355528,0.4978972954678318,0.9983008397013104,-0.24012324516575767,0.9981597756922452,0.9811805166475643
Effusion,llm.L16.ans,3584,0.7732974370019384,0.5020748592351004,0.9979645233460208,-0.2246670863440824,0.9978359531626811,0.9541719873838567
Effusion,llm.L16.vis,3584,0.7560515061075043,0.49298744654010646,0.9979603829502861,-0.24190887684278184,0.9980704303106023,0.9785574623236342
Effusion,llm.L17.ans,3584,0.7697264699547706,0.49422110088920346,0.9975095882848591,-0.22778311833008857,0.9974278699479908,0.9492074382915309
Effusion,llm.L17.vis,3584,0.7604315251838405,0.5037323466970247,0.9983582241334226,-0.23792669894958207,0.9982730191475143,0.9783033477146751
Effusion,llm.L18.ans,3584,0.7737923448509276,0.4939509553552199,0.9978265827933869,-0.22403423794245925,0.9977212569369788,0.9523938250292223
Effusion,llm.L18.vis,3584,0.7575373065444141,0.48916710255069074,0.9981415434233082,-0.2406042368788941,0.9980894616032774,0.9778359304121294
Effusion,llm.L19.ans,3584,0.7789892618688655,0.49356727485308144,0.9978939913414883,-0.21890472947262274,0.9978494639277101,0.9546793633910009
Effusion,llm.L19.vis,3584,0.7570357835143533,0.4940195686286576,0.998098105587355,-0.2410623220730017,0.9980721736351222,0.975465710880997
Effusion,llm.L20.ans,3584,0.7808741269499401,0.5000701516876404,0.9978265101548652,-0.21695238320492516,0.9977657843507568,0.9542555309388446
Effusion,llm.L20.vis,3584,0.755430602135319,0.5175937663456509,0.9977272859342767,-0.24229668379895775,0.9977732661184879,0.9779770656943856
Effusion,llm.L21.ans,3584,0.782825759207409,0.4973305436755792,0.9978402388354592,-0.2150144796280502,0.9978373332945928,0.9524892424341532
Effusion,llm.L21.vis,3584,0.7448250823051598,0.5206556721331652,0.9982459976174565,-0.2534209153122967,0.998140962315135,0.9760788850241601
Effusion,llm.L22.ans,3584,0.7918956339804929,0.49863742654072185,0.9978083505244502,-0.20591271654395726,0.9978072609466252,0.9569823925736534
Effusion,llm.L22.vis,3584,0.7325339220331682,0.5033266668717886,0.9980782752709416,-0.26554435323777337,0.9980981055873551,0.9746134955192214
Effusion,llm.L23.ans,3584,0.7954061413494968,0.496344420171687,0.9979766539791382,-0.20257051262964132,0.9979800679896563,0.9565644614960198
Effusion,llm.L23.vis,3584,0.7434451247653918,0.5082622073166979,0.9979490513409071,-0.25450392657551524,0.9979315454571869,0.9755754195663983
Effusion,llm.L24.ans,3584,0.7940854127565304,0.494961539644934,0.9980367260365517,-0.20395131328002125,0.9980346921579453,0.9573175622061756
Effusion,llm.L24.vis,3584,0.7489701855327527,0.5192314082643611,0.9980151523956184,-0.2490449668628657,0.9980195833454398,0.9746390918424518
Effusion,llm.L25.ans,3584,0.7899273868496354,0.5035734285098921,0.9977973094691577,-0.2078699226195223,0.9978058808147137,0.9550959435515752
Effusion,llm.L25.vis,3584,0.7366904095258607,0.5069804006030584,0.9981528023941657,-0.26146239286830497,0.9982236975913067,0.9743185689948892
Effusion,llm.L26.ans,3584,0.7869344020183995,0.5096495492446387,0.9980204550076998,-0.21108605298930028,0.998020164453613,0.9548126064735944
Effusion,llm.L26.vis,3584,0.7458773576197656,0.5072280852896834,0.9980934567219688,-0.2522160991022032,0.9980893163262341,0.9712034964577532
Effusion,llm.L27.ans,3584,0.7904759853542969,0.5170496292421771,0.9980398494929832,-0.20756386413868633,0.9980395589388964,0.9513929376900171
Effusion,llm.L27.vis,3584,0.7444132488231132,0.5312613458047444,0.9977782781764825,-0.25336502935336924,0.9978708196530784,0.9688506255456995
Atelectasis,vis.block0,1280,0.638587841814767,0.47997827178020364,0.9972528111107883,-0.3586649692960213,0.9972528111107885,0.8059998492660965
Atelectasis,vis.block12,1280,0.7063564525294614,0.4799332304268227,0.9990768370282127,-0.29272038449875126,0.9990765464741261,0.9875256318736793
