pair,concept,kind,locus_a,locus_b,sel_a,sel_a_lo,sel_a_hi,sel_b,sel_b_lo,sel_b_hi,gap,width_a,width_b,gap_gt_widths,intervals_disjoint,gap_lo,gap_hi,paired_excludes_zero,gap_p_boot,sel_a_positive,sel_b_positive,stored_peak_a,stored_peak_b,own_peak_matches_stored,gap_bh_sig,bh_family
lingshu7b_vs_qwen7b,Effusion,own_peak,llm.L18.ans,llm.L16.ans,0.05077961487241012,0.019252341494359122,0.08023605784380713,-0.022962434787846098,-0.05842357421361798,0.011580827152462184,0.07374204966025621,0.06098371634944801,0.07000440136608016,True,True,0.04275126997381449,0.10529833808541295,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,False,True,lingshu7b_vs_qwen7b:own_peak(n=9)
lingshu7b_vs_qwen7b,Effusion,common,connector,connector,-0.031911236889216266,-0.0629056629815217,-0.002373716359218987,-0.054068046032974104,-0.08895528509529711,-0.02133089991410377,0.02215680914375784,0.06053194662230271,0.06762438518119335,False,False,-0.00020546624436974508,0.044630020670592775,False,0.0559720139930035,False,False,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L10.ans,llm.L10.ans,-0.00417135872426766,-0.036579709574604866,0.026298373232588174,-0.07150995884069478,-0.1065801526381345,-0.03844885748269313,0.06733860011642712,0.06287808280719304,0.06813129515544136,False,True,0.040354411397129294,0.09503801222890612,True,0.0009995002498750624,False,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L16.ans,llm.L16.ans,0.04740178774874382,0.01713081789112438,0.07536598146458255,-0.022962434787846098,-0.05842357421361798,0.011580827152462184,0.07036422253658992,0.058235163573458176,0.07000440136608016,True,True,0.04181811409071088,0.10033847652375696,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L18.ans,llm.L18.ans,0.05077961487241012,0.019252341494359122,0.08023605784380713,-0.03051251461573068,-0.06376993279662294,0.0028647403971839157,0.0812921294881408,0.06098371634944801,0.06663467319380685,True,True,0.05045052319765091,0.11163924373686313,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L20.vis,llm.L20.vis,0.0016070530581701048,-0.030781692367919354,0.03272447123237898,-0.04459225038752079,-0.07946659362171345,-0.010577176078182284,0.0461993034456909,0.06350616360029834,0.06888941754353116,False,False,0.022051660576835275,0.07076435834169385,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L21.ans,llm.L21.ans,0.049162506326233646,0.017251906331517766,0.07825891764527017,-0.02811174492424051,-0.06403605698728829,0.005358736712093144,0.07727425125047416,0.0610070113137524,0.06939479369938142,True,True,0.04726167619228363,0.10857985429465769,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L22.ans,llm.L22.ans,0.02820645460681015,-0.002614851435586685,0.05695368721086015,-0.02476564095109479,-0.05990069535329527,0.010143450125899407,0.05297209555790494,0.05956853864644684,0.07004414547919469,False,False,0.02175886076875031,0.08350836858153342,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L23.vis,llm.L23.vis,0.0034552389920343707,-0.02658261995131648,0.03282834640043834,-0.03632947524505081,-0.07038753726563746,-0.0037302046228290613,0.039784714237085184,0.059410966351754815,0.06665733264280839,False,False,0.01692346897907555,0.0632084498181939,True,0.001999000499750125,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L25.ans,llm.L25.ans,0.03605738607792275,0.003421499698466027,0.06566731236655374,-0.03081595661203329,-0.0672708499993983,0.005999155293832754,0.06687334268995604,0.06224581266808771,0.07327000529323105,False,False,0.03559477021917701,0.09812659882009028,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,llm.L27.ans,llm.L27.ans,0.0391751326614066,0.010399273275686507,0.06689876117952223,-0.047638097507645694,-0.08547366697358157,-0.010369635383189909,0.08681323016905229,0.05649948790383572,0.07510403159039165,True,True,0.05336370207369327,0.11987558044493195,True,0.0009995002498750624,True,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
