run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Atelectasis,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Pneumothorax,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Cardiomegaly,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Consolidation,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CORE,vis.last,0,IY,Edema,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Effusion,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Atelectasis,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Pneumothorax,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Cardiomegaly,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Consolidation,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,CALIBRATION,vis.last,0,IY,Edema,400,400,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,WY,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,WY,Edema,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,IA,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,IA,Edema,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,IB,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,IB,Edema,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,WA,Effusion,76200,76200,0,COMPLETE,,,
cf-transfer-v1:q25-7:chexpert:mayo,q25-7,chexpert,PROMPT,vis.last,0,WA,Edema,76200,76200,0,COMPLETE,,,
