arch,domain,concept,variant,floor_untrained,probe_trained,training_adds,behaviour_raw,behaviour_best_readout,used_raw,used_best,utilisation_raw,utilisation_best,elicitation_measured
internvl3_8b,general,Atelectasis,best_locus,0.6006,0.7374,0.1368,0.6587,0.6587,0.0581,0.0581,0.4245,0.4245,0
internvl3_8b,general,Atelectasis,connector,0.53,0.7223,0.1923,0.6587,0.6587,0.1287,0.1287,0.6691,0.6691,0
internvl3_8b,general,Cardiomegaly,best_locus,0.6443,0.8632,0.2189,0.6259,0.6208,-0.0184,-0.0235,-0.084,-0.1073,1
internvl3_8b,general,Cardiomegaly,connector,0.5517,0.8222,0.2704,0.6259,0.6208,0.0742,0.0691,0.2743,0.2554,1
internvl3_8b,general,Consolidation,best_locus,0.638,0.7366,0.0986,0.7432,0.7432,0.1052,0.1052,1.067,1.067,0
internvl3_8b,general,Consolidation,connector,0.5966,0.7063,0.1098,0.7432,0.7432,0.1466,0.1466,1.3357,1.3357,0
internvl3_8b,general,Edema,best_locus,0.7298,0.8227,0.0929,0.8115,0.7871,0.0817,0.0573,0.8797,0.6169,1
internvl3_8b,general,Edema,connector,0.6663,0.8111,0.1448,0.8115,0.7871,0.1452,0.1208,1.0029,0.8343,1
internvl3_8b,general,Effusion,best_locus,0.5846,0.8058,0.2212,0.7873,0.8175,0.2027,0.2329,0.9165,1.0531,1
internvl3_8b,general,Effusion,connector,0.5106,0.7912,0.2806,0.7873,0.8175,0.2767,0.3069,0.9861,1.0937,1
internvl3_8b,general,Infiltration,best_locus,0.6175,0.7213,0.1038,0.7167,0.7167,0.0992,0.0992,0.9561,0.9561,0
internvl3_8b,general,Infiltration,connector,0.6015,0.7144,0.1129,0.7167,0.7167,0.1152,0.1152,1.0208,1.0208,0
internvl3_8b,general,Mass,best_locus,0.5283,0.6825,0.1542,0.6803,0.6803,0.152,0.152,0.9858,0.9858,0
internvl3_8b,general,Mass,connector,0.5001,0.6621,0.162,0.6803,0.6803,0.1802,0.1802,1.1126,1.1126,0
internvl3_8b,general,Nodule,best_locus,0.5816,0.6584,0.0768,0.5409,0.5409,-0.0407,-0.0407,-0.5298,-0.5298,0
internvl3_8b,general,Nodule,connector,0.5148,0.6449,0.1302,0.5409,0.5409,0.0261,0.0261,0.2006,0.2006,0
internvl3_8b,general,Pneumothorax,best_locus,0.5927,0.8057,0.213,0.6977,0.7337,0.105,0.141,0.493,0.6621,1
internvl3_8b,general,Pneumothorax,connector,0.5516,0.7908,0.2392,0.6977,0.7337,0.1461,0.1821,0.6107,0.7612,1
lingshu7b,medical,Atelectasis,best_locus,0.6352,0.7666,0.1313,0.7255,0.7255,0.0903,0.0903,0.6873,0.6873,0
lingshu7b,medical,Atelectasis,connector,0.6148,0.7491,0.1344,0.7255,0.7255,0.1107,0.1107,0.8242,0.8242,0
lingshu7b,medical,Cardiomegaly,best_locus,0.7258,0.8966,0.1708,0.7454,0.7079,0.0196,-0.0179,0.1146,-0.1049,1
lingshu7b,medical,Cardiomegaly,connector,0.6928,0.8679,0.175,0.7454,0.7079,0.0526,0.0151,0.3003,0.086,1
lingshu7b,medical,Consolidation,best_locus,0.6851,0.7507,0.0656,0.758,0.758,0.0729,0.0729,1.1106,1.1106,0
lingshu7b,medical,Consolidation,connector,0.6648,0.7242,0.0594,0.758,0.758,0.0932,0.0932,1.5682,1.5682,0
lingshu7b,medical,Edema,best_locus,0.8044,0.8686,0.0642,0.8482,0.8048,0.0438,0.0004,0.6823,0.0064,1
lingshu7b,medical,Edema,connector,0.7897,0.8408,0.0511,0.8482,0.8048,0.0585,0.0151,1.1439,0.2949,1
lingshu7b,medical,Effusion,best_locus,0.6821,0.8325,0.1503,0.8271,0.8555,0.145,0.1734,0.9644,1.1533,1
lingshu7b,medical,Effusion,connector,0.6769,0.8071,0.1303,0.8271,0.8555,0.1502,0.1786,1.1533,1.3713,1
lingshu7b,medical,Infiltration,best_locus,0.6743,0.7402,0.066,0.7415,0.7415,0.0672,0.0672,1.0192,1.0192,0
lingshu7b,medical,Infiltration,connector,0.6586,0.7357,0.0771,0.7415,0.7415,0.0829,0.0829,1.0755,1.0755,0
lingshu7b,medical,Mass,best_locus,0.5592,0.754,0.1949,0.6951,0.6951,0.1359,0.1359,0.6976,0.6976,0
lingshu7b,medical,Mass,connector,0.5514,0.6698,0.1184,0.6951,0.6951,0.1437,0.1437,1.2133,1.2133,0
lingshu7b,medical,Nodule,best_locus,0.6093,0.6982,0.0889,0.7234,0.7234,0.1141,0.1141,1.2834,1.2834,0
lingshu7b,medical,Nodule,connector,0.5784,0.6394,0.061,0.7234,0.7234,0.145,0.145,2.3756,2.3756,0
lingshu7b,medical,Pneumothorax,best_locus,0.6424,0.8693,0.2269,0.8378,0.8661,0.1954,0.2237,0.8611,0.9859,1
lingshu7b,medical,Pneumothorax,connector,0.6269,0.8191,0.1922,0.8378,0.8661,0.2109,0.2392,1.0972,1.2444,1
llava15_7b,general,Atelectasis,best_locus,0.6214,0.7292,0.1077,0.4734,0.4734,-0.148,-0.148,-1.374,-1.374,0
llava15_7b,general,Atelectasis,connector,0.6132,0.7144,0.1012,0.4734,0.4734,-0.1398,-0.1398,-1.3815,-1.3815,0
llava15_7b,general,Cardiomegaly,best_locus,0.6784,0.8587,0.1803,0.6357,0.6748,-0.0427,-0.0036,-0.2366,-0.0198,1
llava15_7b,general,Cardiomegaly,connector,0.6672,0.8247,0.1575,0.6357,0.6748,-0.0315,0.0076,-0.1998,0.0484,1
llava15_7b,general,Consolidation,best_locus,0.6732,0.7197,0.0465,0.4686,0.4686,-0.2046,-0.2046,-4.4044,-4.4044,0
llava15_7b,general,Consolidation,connector,0.6545,0.7151,0.0606,0.4686,0.4686,-0.1859,-0.1859,-3.0695,-3.0695,0
llava15_7b,general,Edema,best_locus,0.7926,0.8311,0.0386,0.4979,0.5724,-0.2947,-0.2202,-7.6384,-5.7072,1
llava15_7b,general,Edema,connector,0.7926,0.7996,0.007,0.4979,0.5724,-0.2947,-0.2202,nan,nan,1
llava15_7b,general,Effusion,best_locus,0.6737,0.8038,0.1302,0.5127,0.5269,-0.161,-0.1468,-1.2364,-1.1273,1
llava15_7b,general,Effusion,connector,0.6471,0.7744,0.1273,0.5127,0.5269,-0.1344,-0.1202,-1.0565,-0.9449,1
llava15_7b,general,Infiltration,best_locus,0.6691,0.7232,0.0541,0.5388,0.5388,-0.1303,-0.1303,-2.4074,-2.4074,0
llava15_7b,general,Infiltration,connector,0.659,0.7157,0.0567,0.5388,0.5388,-0.1202,-0.1202,-2.1207,-2.1207,0
llava15_7b,general,Mass,best_locus,0.5678,0.6808,0.113,0.5751,0.5751,0.0073,0.0073,0.0646,0.0646,0
llava15_7b,general,Mass,connector,0.5399,0.6691,0.1292,0.5751,0.5751,0.0352,0.0352,0.2726,0.2726,0
llava15_7b,general,Nodule,best_locus,0.6075,0.6692,0.0616,0.5783,0.5783,-0.0292,-0.0292,-0.4742,-0.4742,0
llava15_7b,general,Nodule,connector,0.5991,0.651,0.0519,0.5783,0.5783,-0.0208,-0.0208,-0.4009,-0.4009,0
llava15_7b,general,Pneumothorax,best_locus,0.6538,0.8033,0.1496,0.5394,0.5629,-0.1144,-0.0909,-0.7645,-0.6074,1
llava15_7b,general,Pneumothorax,connector,0.6323,0.7934,0.1611,0.5394,0.5629,-0.0929,-0.0694,-0.5769,-0.431,1
llavamed7b,medical,Atelectasis,best_locus,0.6214,0.7284,0.107,0.5765,0.5765,-0.0449,-0.0449,-0.4198,-0.4198,0
llavamed7b,medical,Atelectasis,connector,0.6132,0.7029,0.0897,0.5765,0.5765,-0.0367,-0.0367,-0.4095,-0.4095,0
llavamed7b,medical,Cardiomegaly,best_locus,0.6784,0.859,0.1806,0.5946,0.6496,-0.0838,-0.0288,-0.4639,-0.1594,1
llavamed7b,medical,Cardiomegaly,connector,0.6672,0.8185,0.1513,0.5946,0.6496,-0.0726,-0.0176,-0.4797,-0.1161,1
llavamed7b,medical,Consolidation,best_locus,0.6732,0.7274,0.0542,0.5749,0.5749,-0.0983,-0.0983,-1.8151,-1.8151,0
llavamed7b,medical,Consolidation,connector,0.6545,0.7068,0.0523,0.5749,0.5749,-0.0796,-0.0796,-1.521,-1.521,0
llavamed7b,medical,Edema,best_locus,0.7926,0.832,0.0394,0.6835,0.7549,-0.1091,-0.0377,-2.7692,-0.9563,1
llavamed7b,medical,Edema,connector,0.7926,0.7929,0.0003,0.6835,0.7549,-0.1091,-0.0377,nan,nan,1
llavamed7b,medical,Effusion,best_locus,0.6737,0.8042,0.1305,0.5557,0.6608,-0.118,-0.0129,-0.9036,-0.0985,1
llavamed7b,medical,Effusion,connector,0.6471,0.7688,0.1216,0.5557,0.6608,-0.0914,0.0137,-0.7518,0.1123,1
llavamed7b,medical,Infiltration,best_locus,0.6691,0.7293,0.0602,0.5093,0.5093,-0.1598,-0.1598,-2.6532,-2.6532,0
llavamed7b,medical,Infiltration,connector,0.659,0.7269,0.0678,0.5093,0.5093,-0.1497,-0.1497,-2.2082,-2.2082,0
llavamed7b,medical,Mass,best_locus,0.5678,0.6817,0.1139,0.4947,0.4947,-0.0731,-0.0731,-0.6419,-0.6419,0
llavamed7b,medical,Mass,connector,0.5399,0.665,0.1251,0.4947,0.4947,-0.0452,-0.0452,-0.3611,-0.3611,0
llavamed7b,medical,Nodule,best_locus,0.6075,0.6773,0.0698,0.5457,0.5457,-0.0618,-0.0618,-0.8858,-0.8858,0
llavamed7b,medical,Nodule,connector,0.5991,0.6489,0.0498,0.5457,0.5457,-0.0534,-0.0534,-1.0726,-1.0726,0
llavamed7b,medical,Pneumothorax,best_locus,0.6538,0.8066,0.1528,0.4513,0.4821,-0.2025,-0.1717,-1.3246,-1.1231,1
llavamed7b,medical,Pneumothorax,connector,0.6323,0.7895,0.1572,0.4513,0.4821,-0.181,-0.1502,-1.1516,-0.9557,1
qwen7b,general,Atelectasis,best_locus,0.6352,0.7318,0.0966,0.5581,0.5581,-0.0771,-0.0771,-0.7986,-0.7986,0
qwen7b,general,Atelectasis,connector,0.6148,0.7248,0.11,0.5581,0.5581,-0.0567,-0.0567,-0.515,-0.515,0
qwen7b,general,Cardiomegaly,best_locus,0.7258,0.8363,0.1105,0.5876,0.5086,-0.1382,-0.2172,-1.2508,-1.9658,1
qwen7b,general,Cardiomegaly,connector,0.6928,0.7928,0.1,0.5876,0.5086,-0.1052,-0.1842,-1.0529,-1.8433,1
qwen7b,general,Consolidation,best_locus,0.6851,0.7263,0.0412,0.6149,0.6149,-0.0702,-0.0702,-1.7048,-1.7048,0
qwen7b,general,Consolidation,connector,0.6648,0.7036,0.0387,0.6149,0.6149,-0.0499,-0.0499,-1.2887,-1.2887,0
