arch,domain,concept,floor,trained,adds,answer,util,elic
lingshu7b,medical,Effusion,0.6602,0.823,0.1628,0.8555,1.1996,1
lingshu7b,medical,Cardiomegaly,0.7063,0.8906,0.1843,0.7079,0.0085,1
lingshu7b,medical,Pneumothorax,0.6118,0.8569,0.2451,0.8661,1.0375,1
lingshu7b,medical,Atelectasis,0.6207,0.7868,0.1661,0.7255,0.6308,0
lingshu7b,medical,Consolidation,0.6622,0.7456,0.0834,0.758,1.1487,0
lingshu7b,medical,Edema,0.7836,0.8499,0.0663,0.8048,0.3196,1
lingshu7b,medical,Infiltration,0.6631,0.7504,0.0873,0.7415,0.8981,0
lingshu7b,medical,Mass,0.5457,0.6973,0.1516,0.6951,0.9855,0
lingshu7b,medical,Nodule,0.5664,0.5988,0.0324,0.7234,4.8485,0
llava15_7b,general,Effusion,0.6471,0.8073,0.1602,0.5269,-0.7508,1
llava15_7b,general,Cardiomegaly,0.6672,0.8233,0.1561,0.6748,0.0488,1
llava15_7b,general,Pneumothorax,0.6323,0.7764,0.1441,0.5629,-0.4819,1
llava15_7b,general,Atelectasis,0.6132,0.7401,0.1269,0.4734,-1.102,0
llava15_7b,general,Consolidation,0.6545,0.7257,0.0712,0.4686,-2.6107,0
llava15_7b,general,Edema,0.7926,0.7702,-0.0224,0.5724,nan,1
llava15_7b,general,Infiltration,0.659,0.738,0.079,0.5388,-1.5229,0
llava15_7b,general,Mass,0.5399,0.715,0.1751,0.5751,0.2011,0
llava15_7b,general,Nodule,0.5991,0.6294,0.0303,0.5783,-0.6869,0
llavamed7b,medical,Effusion,0.6471,0.7921,0.145,0.6608,0.0942,1
llavamed7b,medical,Cardiomegaly,0.6672,0.7406,0.0734,0.6496,-0.2393,1
llavamed7b,medical,Pneumothorax,0.6323,0.7832,0.1509,0.4821,-0.9958,1
llavamed7b,medical,Atelectasis,0.6132,0.7358,0.1226,0.5765,-0.2996,0
llavamed7b,medical,Consolidation,0.6545,0.7492,0.0947,0.5749,-0.8404,0
llavamed7b,medical,Edema,0.7926,0.7832,-0.0094,0.7549,nan,1
llavamed7b,medical,Infiltration,0.659,0.7462,0.0872,0.5093,-1.7181,0
llavamed7b,medical,Mass,0.5399,0.6871,0.1472,0.4947,-0.3069,0
llavamed7b,medical,Nodule,0.5991,0.6446,0.0455,0.5457,-1.174,0
qwen7b,general,Effusion,0.6602,0.7968,0.1366,0.6561,-0.0297,1
qwen7b,general,Cardiomegaly,0.7063,0.7518,0.0455,0.5086,-4.3482,1
qwen7b,general,Pneumothorax,0.6118,0.785,0.1732,0.55,-0.3567,1
qwen7b,general,Atelectasis,0.6207,0.7866,0.1659,0.5581,-0.3777,0
qwen7b,general,Consolidation,0.6622,0.7332,0.071,0.6149,-0.666,0
qwen7b,general,Edema,0.7836,0.8307,0.0471,0.6849,-2.0969,1
qwen7b,general,Infiltration,0.6631,0.7066,0.0435,0.5774,-1.9699,0
qwen7b,general,Mass,0.5457,0.6986,0.1529,0.5975,0.3387,0
qwen7b,general,Nodule,0.5664,0.5804,0.014,0.5962,nan,0
