arch,model,domain,concept,floor,trained,adds,answer_raw,answer,utilisation,below_floor,floor_selectivity,trained_selectivity,floor_view_auroc,trained_view_auroc,elicitation_measured,yes_rate,frac_pinned
lingshu7b,Lingshu-7B,medical,Effusion,0.6769,0.8071,0.1303,0.8271,0.8555,1.3713,0,-0.0374,0.0828,0.996,0.9986,1,0.348,0.276
lingshu7b,Lingshu-7B,medical,Cardiomegaly,0.6928,0.8679,0.175,0.7454,0.7079,0.086,0,0.154,0.1377,0.996,0.9986,1,0.131,0.345
lingshu7b,Lingshu-7B,medical,Pneumothorax,0.6269,0.8191,0.1922,0.8378,0.8661,1.2444,0,-0.0525,0.0943,0.996,0.9986,1,0.199,0.183
lingshu7b,Lingshu-7B,medical,Atelectasis,0.6148,0.7491,0.1344,0.7255,0.7255,0.8242,0,-0.0305,0.056,0.996,0.9986,0,0.431,0.117
lingshu7b,Lingshu-7B,medical,Consolidation,0.6648,0.7242,0.0594,0.758,0.758,1.5682,0,0.0391,0.0869,0.996,0.9986,0,0.359,0.134
lingshu7b,Lingshu-7B,medical,Edema,0.7897,0.8408,0.0511,0.8482,0.8048,0.2949,0,0.2065,0.2007,0.996,0.9986,1,0.218,0.473
lingshu7b,Lingshu-7B,medical,Infiltration,0.6586,0.7357,0.0771,0.7415,0.7415,1.0755,0,0.1002,0.102,0.996,0.9986,0,0.39,0.049
lingshu7b,Lingshu-7B,medical,Mass,0.5514,0.6698,0.1184,0.6951,0.6951,1.2133,0,-0.0954,-0.0176,0.996,0.9986,0,0.406,0.067
lingshu7b,Lingshu-7B,medical,Nodule,0.5784,0.6394,0.061,0.7234,0.7234,2.3756,0,-0.0474,-0.1416,0.996,0.9986,0,0.252,0.012
llavamed7b,LLaVA-Med-7B,medical,Effusion,0.6471,0.7688,0.1216,0.5557,0.6608,0.1123,0,-0.0558,0.0448,0.9951,0.9987,1,1.0,0.988
llavamed7b,LLaVA-Med-7B,medical,Cardiomegaly,0.6672,0.8185,0.1513,0.5946,0.6496,-0.1161,1,0.1286,0.0731,0.9951,0.9987,1,1.0,0.0
llavamed7b,LLaVA-Med-7B,medical,Pneumothorax,0.6323,0.7895,0.1572,0.4513,0.4821,-0.9557,1,-0.0412,0.0524,0.9951,0.9987,1,1.0,0.002
llavamed7b,LLaVA-Med-7B,medical,Atelectasis,0.6132,0.7029,0.0897,0.5765,0.5765,-0.4095,1,-0.0142,0.0216,0.9951,0.9987,0,1.0,1.0
llavamed7b,LLaVA-Med-7B,medical,Consolidation,0.6545,0.7068,0.0523,0.5749,0.5749,-1.521,1,0.0446,0.066,0.9951,0.9987,0,1.0,0.041
llavamed7b,LLaVA-Med-7B,medical,Edema,0.7926,0.7929,0.0003,0.6835,0.7549,nan,1,0.2054,0.1865,0.9951,0.9987,1,1.0,1.0
llavamed7b,LLaVA-Med-7B,medical,Infiltration,0.659,0.7269,0.0678,0.5093,0.5093,-2.2082,1,0.0944,0.1059,0.9951,0.9987,0,1.0,0.542
llavamed7b,LLaVA-Med-7B,medical,Mass,0.5399,0.665,0.1251,0.4947,0.4947,-0.3611,1,-0.0699,-0.0067,0.9951,0.9987,0,1.0,0.132
llavamed7b,LLaVA-Med-7B,medical,Nodule,0.5991,0.6489,0.0498,0.5457,0.5457,-1.0726,1,-0.0242,-0.1248,0.9951,0.9987,0,1.0,0.087
qwen7b,Qwen2.5-VL-7B,general,Effusion,0.6769,0.7698,0.0929,0.626,0.6561,-0.2235,1,-0.0374,0.056,0.996,0.9986,1,0.033,0.143
qwen7b,Qwen2.5-VL-7B,general,Cardiomegaly,0.6928,0.7928,0.1,0.5876,0.5086,-1.8433,1,0.154,0.0596,0.996,0.9986,1,0.125,0.013
qwen7b,Qwen2.5-VL-7B,general,Pneumothorax,0.6269,0.7524,0.1255,0.543,0.55,-0.613,1,-0.0525,0.036,0.996,0.9986,1,0.0,0.941
qwen7b,Qwen2.5-VL-7B,general,Atelectasis,0.6148,0.7248,0.11,0.5581,0.5581,-0.515,1,-0.0305,0.0526,0.996,0.9986,0,0.009,0.053
qwen7b,Qwen2.5-VL-7B,general,Consolidation,0.6648,0.7036,0.0387,0.6149,0.6149,-1.2887,1,0.0391,0.0833,0.996,0.9986,0,0.231,0.046
qwen7b,Qwen2.5-VL-7B,general,Edema,0.7897,0.8161,0.0264,0.6378,0.6849,-3.9741,1,0.2065,0.2126,0.996,0.9986,1,0.009,0.103
qwen7b,Qwen2.5-VL-7B,general,Infiltration,0.6586,0.693,0.0343,0.5774,0.5774,-2.3641,1,0.1002,0.0719,0.996,0.9986,0,0.517,0.017
qwen7b,Qwen2.5-VL-7B,general,Mass,0.5514,0.6435,0.0921,0.5975,0.5975,0.5004,0,-0.0954,-0.0405,0.996,0.9986,0,0.062,0.183
qwen7b,Qwen2.5-VL-7B,general,Nodule,0.5784,0.6132,0.0349,0.5962,0.5962,0.5112,0,-0.0474,-0.1581,0.996,0.9986,0,0.075,0.123
llava15_7b,LLaVA-1.5-7B,general,Effusion,0.6471,0.7744,0.1273,0.5127,0.5269,-0.9449,1,-0.0558,0.0566,0.9951,0.9986,1,0.75,0.0
llava15_7b,LLaVA-1.5-7B,general,Cardiomegaly,0.6672,0.8247,0.1575,0.6357,0.6748,0.0484,0,0.1286,0.0944,0.9951,0.9986,1,0.631,0.0
llava15_7b,LLaVA-1.5-7B,general,Pneumothorax,0.6323,0.7934,0.1611,0.5394,0.5629,-0.431,1,-0.0412,0.0611,0.9951,0.9986,1,0.48,0.0
llava15_7b,LLaVA-1.5-7B,general,Atelectasis,0.6132,0.7144,0.1012,0.4734,0.4734,-1.3815,1,-0.0142,0.0396,0.9951,0.9986,0,0.925,0.0
llava15_7b,LLaVA-1.5-7B,general,Consolidation,0.6545,0.7151,0.0606,0.4686,0.4686,-3.0695,1,0.0446,0.0658,0.9951,0.9986,0,0.81,0.0
llava15_7b,LLaVA-1.5-7B,general,Edema,0.7926,0.7996,0.007,0.4979,0.5724,nan,1,0.2054,0.1842,0.9951,0.9986,1,0.383,0.0
llava15_7b,LLaVA-1.5-7B,general,Infiltration,0.659,0.7157,0.0567,0.5388,0.5388,-2.1207,1,0.0944,0.0845,0.9951,0.9986,0,0.717,0.0
llava15_7b,LLaVA-1.5-7B,general,Mass,0.5399,0.6691,0.1292,0.5751,0.5751,0.2726,0,-0.0699,0.0034,0.9951,0.9986,0,0.242,0.0
llava15_7b,LLaVA-1.5-7B,general,Nodule,0.5991,0.651,0.0519,0.5783,0.5783,-0.4009,1,-0.0242,-0.1244,0.9951,0.9986,0,0.482,0.0
internvl3_8b,InternVL3-8B,general,Effusion,0.5106,0.7912,0.2806,0.7873,0.8175,1.0937,0,-0.0622,0.1044,0.9197,0.9985,1,0.303,0.396
internvl3_8b,InternVL3-8B,general,Cardiomegaly,0.5517,0.8222,0.2704,0.6259,0.6208,0.2554,0,0.0357,0.1022,0.9197,0.9985,1,0.976,0.555
internvl3_8b,InternVL3-8B,general,Pneumothorax,0.5516,0.7908,0.2392,0.6977,0.7337,0.7612,0,-0.0562,0.0863,0.9197,0.9985,1,0.003,0.71
internvl3_8b,InternVL3-8B,general,Atelectasis,0.53,0.7223,0.1923,0.6587,0.6587,0.6691,0,-0.0445,0.0436,0.9197,0.9985,0,1.0,0.771
internvl3_8b,InternVL3-8B,general,Consolidation,0.5966,0.7063,0.1098,0.7432,0.7432,1.3357,0,0.06,0.0817,0.9197,0.9985,0,0.241,0.554
internvl3_8b,InternVL3-8B,general,Edema,0.6663,0.8111,0.1448,0.8115,0.7871,0.8343,0,0.1531,0.1952,0.9197,0.9985,1,0.304,0.463
internvl3_8b,InternVL3-8B,general,Infiltration,0.6015,0.7144,0.1129,0.7167,0.7167,1.0208,0,0.067,0.0933,0.9197,0.9985,0,0.746,0.274
internvl3_8b,InternVL3-8B,general,Mass,0.5001,0.6621,0.162,0.6803,0.6803,1.1126,0,-0.0194,-0.0067,0.9197,0.9985,0,0.328,0.013
internvl3_8b,InternVL3-8B,general,Nodule,0.5148,0.6449,0.1302,0.5409,0.5409,0.2006,0,-0.0302,-0.1159,0.9197,0.9985,0,0.162,0.012
